name,lat,lon,note
Foxtail Coffee Co.,27.78140973,-82.63857224,
The Sourdough Co,27.77137545,-82.65056515,
Bandit Coffee Co.,27.77107349,-82.66950791,
Kahwa Coffee,27.76935761,-82.63589938,
Central Diner (formerly Central Coffee Shoppe),27.77093929,-82.64087574,
Paradeco Coffee Roasters,27.77376431,-82.63355318,
Driftwood Kava & Roastery St. Pete,27.7711145,-82.6442421,
Intermezzo Coffee & Cocktails,27.77139109,-82.650367,
Flatbread & Butter,27.77977279,-82.64044232,
Uptown Eats,27.77925112,-82.64653737,
Blush Tea and Coffee St Pete,27.79374147,-82.64704304,
Raining Berries St. Pete,27.77145089,-82.65552737,
Grassroots Kava House,27.77149664,-82.64806984,
La Deja Vu Cafe - Bistro - Restaurant,27.77244988,-82.63864244,
Cafe Gala,27.7662191,-82.6314498,
Crislip Café,27.77166085,-82.64245642,
