name,center_lat,center_lng,rating,google Maps URL,opening hours,bearing,duration,zoom,pitch,speed,active
stpete,27.77,-82.655,,,,,,12.5,0,20,,
Paradeco Coffee Roasters,27.77367649999999,-82.6335508,4.7,https://maps.google.com/?cid=361888425776248428,"Monday: 7:00 AM – 5:00 PM, Tuesday: 7:00 AM – 5:00 PM, Wednesday: 7:00 AM – 5:00 PM, Thursday: 7:00 AM – 5:00 PM, Friday: 7:00 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: 8:00 AM – 6:00 PM",,,,,,
Caribou Coffee,27.7713779,-82.6440837,4.7,https://maps.google.com/?cid=7287627397810253140,"Monday: 7:00 AM – 5:30 PM, Tuesday: 7:00 AM – 5:30 PM, Wednesday: 7:00 AM – 5:30 PM, Thursday: 7:00 AM – 5:30 PM, Friday: 7:00 AM – 5:30 PM, Saturday: 7:00 AM – 5:30 PM, Sunday: 7:00 AM – 5:30 PM",,,,,,
The Blend (34th St N) Coffee & Cocktails,27.7964347,-82.67997369999999,4.4,https://maps.google.com/?cid=15427381742529607274,"Monday: 6:30 AM – 7:00 PM, Tuesday: 6:30 AM – 7:00 PM, Wednesday: 6:30 AM – 7:00 PM, Thursday: 6:30 AM – 7:00 PM, Friday: 6:30 AM – 7:00 PM, Saturday: 6:30 AM – 7:00 PM, Sunday: 7:00 AM – 7:00 PM",,,,,,
2D Cafe,27.771237,-82.66188,4.5,https://maps.google.com/?cid=11652252313769637407,"Monday: Closed, Tuesday: Closed, Wednesday: 8:30 AM – 6:00 PM, Thursday: 8:30 AM – 6:00 PM, Friday: 8:30 AM – 6:00 PM, Saturday: 8:30 AM – 6:00 PM, Sunday: 8:30 AM – 6:00 PM",,,,,,
Moon Mountain,27.7719044,-82.6358618,4.9,https://maps.google.com/?cid=13374119603334673592,"Monday: 6:30 AM – 11:00 PM, Tuesday: 6:30 AM – 11:00 PM, Wednesday: 6:30 AM – 11:00 PM, Thursday: 6:30 AM – 11:00 PM, Friday: 6:30 AM – 1:00 AM, Saturday: 7:30 AM – 1:00 AM, Sunday: 8:00 AM – 10:00 PM",,,,,,
Starbucks,27.8082644,-82.6382319,4,https://maps.google.com/?cid=16304193782206337378,"Monday: 5:00 AM – 8:00 PM, Tuesday: 5:00 AM – 8:00 PM, Wednesday: 5:00 AM – 8:00 PM, Thursday: 5:00 AM – 8:00 PM, Friday: 5:00 AM – 8:00 PM, Saturday: 5:00 AM – 8:00 PM, Sunday: 5:00 AM – 8:00 PM",,,,,,
Starbucks,27.72599959999999,-82.6804461,4.1,https://maps.google.com/?cid=15322416243382616832,"Monday: 5:00 AM – 8:00 PM, Tuesday: 5:00 AM – 8:00 PM, Wednesday: 5:00 AM – 8:00 PM, Thursday: 5:00 AM – 8:00 PM, Friday: 5:00 AM – 8:00 PM, Saturday: 5:30 AM – 8:00 PM, Sunday: 5:30 AM – 8:00 PM",,,,,,
Foxtail Coffee Co.,27.77977619999999,-82.638733,4.3,https://maps.google.com/?cid=13987541391888552573,"Monday: 6:30 AM – 9:00 PM, Tuesday: 6:30 AM – 9:00 PM, Wednesday: 6:30 AM – 9:00 PM, Thursday: 6:30 AM – 9:00 PM, Friday: 6:30 AM – 9:00 PM, Saturday: 6:30 AM – 9:00 PM, Sunday: 6:30 AM – 9:00 PM",,,,,,
Raining Berries St. Pete,27.7712373,-82.6555381,4.3,https://maps.google.com/?cid=15816009991780413297,"Monday: 7:00 AM – 8:00 PM, Tuesday: 7:00 AM – 8:00 PM, Wednesday: 7:00 AM – 8:00 PM, Thursday: 7:00 AM – 8:00 PM, Friday: 7:00 AM – 8:00 PM, Saturday: 7:00 AM – 6:00 PM, Sunday: 7:00 AM – 6:00 PM",,,,,,
